id,lang_id,dict_detail_id,lbl
+GXxugluRgGnHMqEkD+oyg,eYHRCo6WQFm4TBWYzAdERg,bExSBuj+RruLXAUBZYOQbw,Create User
wg18sv+QTquzSZdr3jS5/Q,eYHRCo6WQFm4TBWYzAdERg,EoBCe8WvTiuiM/1D60LFrg,This Department
ySVyE/jwTdabBrkRpJLsnA,eYHRCo6WQFm4TBWYzAdERg,vnPFqzHmTGSsT1P6BCL8kg,This Department and All Its Parents
J8r/vj79QiufxD315Slp2A,eYHRCo6WQFm4TBWYzAdERg,2NlgW7XhQ+O73Xa4+mDvcg,This Role
phnTo6kJT368lZ+XBTSPyQ,eYHRCo6WQFm4TBWYzAdERg,KRyE05APQZ+nLxPsNsu+9w,This Tenant
bJf+r+qfRnW2DxEwZCe7Tg,eYHRCo6WQFm4TBWYzAdERg,Z1tE9EpPQ+6PU9vDfMb1Tg,Visible Unchangeable Non Deletable
AlaAzN+zQL2jOLGRIYMeEA,eYHRCo6WQFm4TBWYzAdERg,L/kRr5ZiTcWmWCEQrdoDiQ,Visible Changeable Deletable
tQcMUD3uSOSHDCslqkUlpg,eYHRCo6WQFm4TBWYzAdERg,762R07U3S9uBBbwgqvZwCA,Eidtable
JyogolvARh+9TQ3erh+0Ug,eYHRCo6WQFm4TBWYzAdERg,9J6oA8lKRlyCZP+TsNAboQ,Hidden
Y5lpMNdSQ36PCsI4f07zrA,eYHRCo6WQFm4TBWYzAdERg,mEMioODwQGCaarQuNOu2mQ,Readonly
nP149pZmT8Wb5tF0GSiMsw,eYHRCo6WQFm4TBWYzAdERg,nfvZHCHqT46p3s1okLUa+Q,Account
piIbeIvvQ2G5+NRwjSObEg,eYHRCo6WQFm4TBWYzAdERg,+tojrXoBSLqPpzzv5jTN3A,Login User
z0zILR6cTtqAuMBvyyNMxA,eYHRCo6WQFm4TBWYzAdERg,InYSXd68TUWUcyqe9AT9lw,Third Party API
