id,lang_id,menu_id,code,lbl
S2zIGxt1QVWQ4qInwJbTtQ,eYHRCo6WQFm4TBWYzAdERg,,最多只能上传 {0} 张图片,Up to {0} images can be uploaded
1jIapXE8TReM5lBioI548g,eYHRCo6WQFm4TBWYzAdERg,,文件大小不能超过 {0}M,File size cannot exceed {0}M
4nIR5P8fTgSVedWwJbcjoQ,eYHRCo6WQFm4TBWYzAdERg,,还原,Restore
5LoNLP+jRBOyu7FjQHfv1A,eYHRCo6WQFm4TBWYzAdERg,,不能删除系统记录,Unable to delete system records
AEbisem9RoGpMlyNfVcjKQ,eYHRCo6WQFm4TBWYzAdERg,,管理系统,Management System
Egt9hJQZR/Saw0l2s4Kfmg,eYHRCo6WQFm4TBWYzAdERg,,管理系统 (测试库),Management System (Test)
TTVr2duJTVitqhlRtx0AkA,eYHRCo6WQFm4TBWYzAdERg,,确定清空缓存?,Confirm to clear the cache?
hapETeJGSYi4S5dBhQkvdQ,eYHRCo6WQFm4TBWYzAdERg,,确定退出登录?,Confirm to log out?
2Arl4LHQQ+OxPhSTXGMRvQ,eYHRCo6WQFm4TBWYzAdERg,,提示,Notice
NfPTtF6NRbq5el7FIOM2xw,eYHRCo6WQFm4TBWYzAdERg,,(无),(None)
dT/ThknvTP+MQhtHA+JRxA,eYHRCo6WQFm4TBWYzAdERg,,(自动生成),(Auto-generated)
,,,,
J+CaMSQBRb2nbqcBNToQxw,eYHRCo6WQFm4TBWYzAdERg,,菜单,Menu
m+u0jFNWRVKuckxtHF25kQ,eYHRCo6WQFm4TBWYzAdERg,,角色,Role
tgr2DL5RSeWThcu8S3ubjA,eYHRCo6WQFm4TBWYzAdERg,,域名,Domain
B1Bn/r+STUax/4wENS81+Q,eYHRCo6WQFm4TBWYzAdERg,,租户,Tenant
gdUnJ0TyTSWrLfhgrPO8RA,eYHRCo6WQFm4TBWYzAdERg,,用户,User
uiKexDxcRNmlYfixql+9gA,eYHRCo6WQFm4TBWYzAdERg,,后台任务,BackgroundTask
pZbsbRwIQAagtwMlsNEdew,eYHRCo6WQFm4TBWYzAdERg,,系统选项,SystemOptions
q1n9kr5pQvKabsbXQ0k6VQ,eYHRCo6WQFm4TBWYzAdERg,,业务选项,BusinessOptions
D/bX0BupSiaR4eSslqLHNA,eYHRCo6WQFm4TBWYzAdERg,,操作记录,OperationRecord
KTv+0RbLQgi82zsEHC7NuA,eYHRCo6WQFm4TBWYzAdERg,,组织,Organization
WdOehFxyTECkrNLguYpLmQ,eYHRCo6WQFm4TBWYzAdERg,,部门,Department
pVT9ABSXRrmiq9yqsKZ06g,eYHRCo6WQFm4TBWYzAdERg,,系统字典,SystemDictionary
0/RW+l6RRfqsxdHZNYHrsQ,eYHRCo6WQFm4TBWYzAdERg,,系统字典明细,SystemDictionaryDetail
lSLoAiKjRaiIYPtyHcvYCw,eYHRCo6WQFm4TBWYzAdERg,,业务字典,BusinessDictionary
wRxKHEiyTE+spOIAWqZQmA,eYHRCo6WQFm4TBWYzAdERg,,业务字典明细,BusinessDictionaryDetail
EMEX1Dz4QOGPtjyYkpDQXg,eYHRCo6WQFm4TBWYzAdERg,,语言,Language
4lnlqmXiQQaMA2PMEt0eVg,eYHRCo6WQFm4TBWYzAdERg,,国际化,Internationalization
9RHJFnA8S4ysCw1jVAl3KQ,eYHRCo6WQFm4TBWYzAdERg,,按钮权限,ButtonPermission
3+tOTmGITJS9p75ytJg/Ag,eYHRCo6WQFm4TBWYzAdERg,,数据权限,DataPermission
bqpkMGOQQZOjfsVEoz3gXg,eYHRCo6WQFm4TBWYzAdERg,,字段权限,FieldPermission
WHu9lZGdTBqxiod/SoBJKw,eYHRCo6WQFm4TBWYzAdERg,,登录日志,LoginLog
WtH0Y6/xSW+YqVZ76bioYA,eYHRCo6WQFm4TBWYzAdERg,,租户管理员密码,TenantAdminPassword
,,,,
jhcFcX6NQrSInCjeP5RSmg,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,父菜单,Parent Menu
m8XOFssQR4aeckWe2sshwA,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,名称,Name
tO2N03wYSA+eLCQ222MLQg,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,路由,Route
kKLlAZFLT6Cm7Qe3b4jhCQ,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,参数,Parameter
jbJd3+0ETFSGDkSOtLvFxg,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,锁定,Lock
